set,method,preproc,good_matches,inliers,inlier_ratio,PSNR,SSIM
set01,contour,False,,,,,
set01,contour,True,,,,,
set01,orb,False,2103.0,1987.0,0.9448407037565383,18.44575817708303,0.6791547187044301
set01,orb,True,1727.0,1622.0,0.939200926462073,18.442027354126452,0.6799319135441673
set02,contour,False,,,,,
set02,contour,True,,,,,
set02,orb,False,1532.0,1383.0,0.9027415143603134,19.455832092724798,0.6781497289312581
set02,orb,True,1338.0,1184.0,0.8849028400597907,18.68661574497721,0.6481614845287009
set03,contour,False,,,,,
set03,contour,True,,,,,
set03,orb,False,889.0,781.0,0.8785151856017998,18.276629720664253,0.6435044088571436
set03,orb,True,832.0,715.0,0.859375,18.462707729051637,0.6503268009508573
set04,contour,False,,,,,
set04,contour,True,,,,,
set04,orb,False,1349.0,1225.0,0.9080800593031876,19.80455147271688,0.7013137644484824
set04,orb,True,1154.0,1056.0,0.9150779896013865,19.89221716822762,0.7047755703155376
set05,contour,False,,,,,
set05,contour,True,,,,,
set05,orb,False,555.0,475.0,0.8558558558558559,10.950582849713623,0.508733280224209
set05,orb,True,472.0,409.0,0.8665254237288136,14.454926970739185,0.5526977445177966
set06,contour,False,,,,,
set06,contour,True,,,,,
set06,orb,False,1529.0,1413.0,0.9241334205362982,11.154921206916846,0.5668073998457934
set06,orb,True,1272.0,1197.0,0.9410377358490566,11.177386324425669,0.5649456610026248
set07,contour,False,,,,,
set07,contour,True,,,,,
set07,orb,False,334.0,227.0,0.6796407185628742,17.58489008220675,0.6520571616390884
set07,orb,True,289.0,184.0,0.6366782006920415,17.551898653221084,0.6495253136459136
set08,contour,False,,,,,
set08,contour,True,,,,,
set08,orb,False,2162.0,2045.0,0.9458834412580943,24.549712857500165,0.7803468102681915
set08,orb,True,2065.0,1936.0,0.9375302663438256,24.299473451793553,0.7812561186034052
set09,contour,False,,,,,
set09,contour,True,,,,,
set09,orb,False,1347.0,1196.0,0.8878990348923533,11.802230713298274,0.5671833027253997
set09,orb,True,1242.0,1121.0,0.9025764895330113,11.795929295533337,0.5654317380654003
set10,contour,False,,,,,
set10,contour,True,,,,,
set10,orb,False,802.0,708.0,0.8827930174563591,16.710596989005083,0.6566968050848132
set10,orb,True,637.0,575.0,0.902668759811617,16.687062459271683,0.654144567863936
